Lineup,QB,RB,RB2,WR,WR2,WR3,TE,FLEX,D,Total_Salary,Projected_Points,Ownership_Total,Correlation_Score
1,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),60000,159.0,200.0,0.28
2,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),A.Brown (00-0035676),N.Collins (00-0036554),T.Kelce (00-0030506),,Baltimore Ravens Defense (DST_BAL),59885,158.87,199.6,0.41
3,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59819,158.7,199.4,0.28
4,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),J.Watson (00-0034386),N.Collins (00-0036554),J.Williams (00-0037240),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59964,158.43,199.9,0.41
5,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),J.Williams (00-0037240),J.Metchie (00-0037614),Z.Ertz (00-0030061),,Baltimore Ravens Defense (DST_BAL),59955,158.43,199.8,0.28
6,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),K.Shakir (00-0037261),T.Kelce (00-0030506),,Atlanta Falcons Defense (DST_ATL),59965,158.42,199.9,0.41
7,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),A.Brown (00-0035676),N.Collins (00-0036554),J.Metchie (00-0037614),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59931,158.4,199.8,0.28
8,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),J.Metchie (00-0037614),T.Higbee (00-0033110),,Baltimore Ravens Defense (DST_BAL),59736,158.38,199.1,0.28
9,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),C.Kupp (00-0033908),N.Collins (00-0036554),J.Dotson (00-0037741),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59975,157.43,199.9,0.515
10,J.Hurts (00-0036389),S.Barkley (00-0034844),J.Gibbs (00-0039139),N.Collins (00-0036554),K.Shakir (00-0037261),J.Metchie (00-0037614),I.Likely (00-0037838),,Baltimore Ravens Defense (DST_BAL),59617,157.28,198.7,0.28
